"plan_id","totalpensionliability","netpensionliability","year"
1288,3.98184E+6,1.66731E+6,"2018"
1288,4.03737E+6,1.61411E+6,"2019"
1288,4.0921E+6,1.7305E+6,"2020"
1288,4.34407E+6,1.34015E+6,"2021"
1301,625656,163632,"2016"
1301,719981,213283,"2017"
1301,756872,216479,"2018"
1301,787889,235623,"2019"
1301,821693,296969,"2020"
1301,852725,183179,"2021"
1302,1.20262E+6,429829,"2016"
1302,1.16335E+6,336004,"2017"
1302,1.20404E+6,324542,"2018"
1302,1.25543E+6,364204,"2019"
1302,1.29344E+6,419101,"2020"
1302,1.34174E+6,308100,"2021"
1303,1.26859E+6,244981,"2016"
1303,1.31445E+6,222148,"2017"
1303,1.35751E+6,205852,"2018"
1303,1.39617E+6,226899,"2019"
1303,1.4214E+6,323563,"2020"
1303,1.46701E+6,126343,"2021"
1311,1.08932E+6,380079,"2016"
1311,1.05865E+6,282073,"2017"
1311,1.01091E+6,214752,"2018"
1311,1.11162E+6,326872,"2019"
1311,1.15838E+6,359733,"2020"
1311,1.15696E+6,225308,"2021"
1312,591502,93914.1,"2016"
1312,564773,57598.4,"2017"
1312,580331,62023.1,"2018"
1312,608027,69704.1,"2019"
1312,618092,75652.8,"2020"
1312,626098,-8287.33,"2021"
1313,974143,209242,"2016"
1313,990630,173715,"2017"
1313,996543,169188,"2018"
1313,1.01545E+6,217677,"2019"
1313,1.08413E+6,283834,"2020"
1313,1.09469E+6,173898,"2021"
1327,900948,269505,"2016"
1327,989537,303735,"2017"
1327,1.00297E+6,400207,"2018"
1327,994023,331937,"2019"
1327,1.00328E+6,309044,"2020"
1327,1.00218E+6,248679,"2021"
1328,1.26586E+6,415682,"2016"
1328,1.67312E+6,759040,"2017"
1328,1.65835E+6,838902,"2018"
1328,1.2713E+6,378255,"2019"
1328,1.27846E+6,363687,"2020"
1328,1.26944E+6,296612,"2021"
1329,6.73615E+6,1.70335E+6,"2016"
1329,7.42015E+6,1.94763E+6,"2017"
1329,7.86714E+6,2.08714E+6,"2018"
1329,7.99362E+6,2.09031E+6,"2019"
1329,8.48368E+6,2.63821E+6,"2020"
1329,1.25166E+7,5.30658E+6,"2021"
1330,5.48367E+6,1.82684E+6,"2016"
1330,5.63684E+6,1.68608E+6,"2017"
1330,6.00443E+6,1.85611E+6,"2018"
